丹玉404号: 	丹玉404号:B-Ni 丹东:I-Ni 农业:I-Ni 科学院:E-Ni 辽宁抚顺:B-Ns 铁岭:I-Ns 本溪:E-Ns 
丰甜4号: 	甘肃省:B-Ni 兰州:I-Ni 白银:E-Ni 
丰田三号: 	中国:S-Ns 海南:B-Ns 广东:I-Ns 广西:I-Ns 福建:I-Ns 冬种:E-Ns 
丰源1号: 	丰源1号:B-Ni 丰源:I-Ni 种业:I-Ni 北方:I-Ni 玉米:I-Ni 研究所:E-Ni 辽宁:B-Ns 吉林:E-Ns 河南:B-Ns 河北:I-Ns 山东:I-Ns 地区:E-Ns 
丰软占: 	中南:S-Ns 
GN527: 	美国:B-Ni GENOSYS:I-Ni  :I-Ni LLC:I-Ni 公司:E-Ni 
光亚2号: 	光亚2号:B-Ni 中国:I-Ni 水稻:I-Ni 研究所:E-Ni 浙江省:S-Ns 
冈优一五八: 	四川:B-Ni 农业大学:I-Ni 水稻:I-Ni 研究所:E-Ni 
冈绿: 	日本:S-Ns 日本:S-Ns 
九九紫红茄: 	
久脆: 	河北省:B-Ni 林业局:E-Ni 河北省:B-Ns 满城县:I-Ns 唐山市:I-Ns 丰润区:I-Ns 秦皇岛:I-Ns 海港区:I-Ns 地区:E-Ns 
井冈701: 	江西省:B-Ni 农科院:I-Ni 生物工程:I-Ni 中心:E-Ni 江西省:B-Ni 品种:I-Ni 审定:I-Ni 委员会:E-Ni 
九九王: 	
京单二八: 	北京市:B-Ni 农林:I-Ni 科学院:I-Ni 玉米:I-Ni 研究:I-Ni 中心:E-Ni 京津唐:B-Ns 地区:E-Ns 叶鞘:S-Nh 北京:B-Ns 天津:I-Ns 两市:I-Ns 河北省:I-Ns 唐山:I-Ns 廊坊:I-Ns 保定:E-Ns 沧州:S-Ns 
京新801: 	京新801:B-Ni 武威:I-Ni 三新:I-Ni 种业:I-Ni 有限责任:I-Ni 公司:E-Ni 甘肃省:S-Ns 
京冬一七: 	北京:S-Ns 小麦:B-Ni 工程技术:I-Ni 研究:I-Ni 中心:E-Ni 
京冬二二: 	国家:B-Ni 农业部:E-Ni 
京福优167: 	福建省:B-Ni 三明市:I-Ni 品种:I-Ni 审定:I-Ni 委员会:E-Ni 
京科青贮五一六: 	北京市:B-Ni 农林:I-Ni 科学院:I-Ni 玉米:I-Ni 研究:I-Ni 中心:E-Ni 叶鞘:S-Nh 叶缘:S-Nh 
京花九号: 	京花9号:B-Ni 北京:I-Ni 杂交:I-Ni 小麦:I-Ni 工程技术:I-Ni 研究:I-Ni 中心:E-Ni 北京:S-Ns 
今夏秋王: 	
今夏王: 	
京科968: 	叶鞘:S-Nh 颖:S-Nh 
今冬王: 	王:S-Nh 四川盆地:S-Ns 
今秋王: 	叶大披:S-Nh 
佳绿: 	日本:S-Ns 日本:S-Ns 
佳尔三三六: 	佳尔:S-Nh 吉林省:S-Ns 王义:S-Nh 美国:S-Ns 吉林省:B-Ni 农科院:E-Ni 叶鞘:S-Nh 叶缘:S-Nh 
今夏青: 	
佳玉: 	佳玉:S-Nh 佳玉:S-Nh 福建:S-Ns 
冀棉616: 	
K优二一三: 	K优二一三:S-Nh 四川省:B-Ni 嘉陵:I-Ni 农作物:I-Ni 品种:I-Ni 研究:I-Ni 中心:I-Ni 四川省:I-Ni 农科院:I-Ni 泸州:I-Ni 水稻:I-Ni 高粱:I-Ni 研究所:E-Ni 长江:S-Ns 
克丰13号: 	黑龙江:S-Ns 内蒙古:B-Ns 呼伦贝尔:I-Ns 兴安盟:E-Ns 
冀杂二号: 	河北省:B-Ni 农林:I-Ni 科学院:I-Ni 棉花:I-Ni 研究所:I-Ni 中国农业科学院:I-Ni 生物:I-Ni 技术:I-Ni 研究所:E-Ni 河北:S-Ns 山东:S-Ns 河南:S-Ns 江苏:B-Ns 安徽:I-Ns 淮河:E-Ns 陕西:B-Ns 关中:E-Ns 
克丰一三号: 	黑龙江:S-Ns 内蒙古:B-Ns 呼伦贝尔:I-Ns 兴安盟:E-Ns 
克单14: 	黑龙江省:B-Ni 农业:I-Ni 科学院:I-Ni 克山:I-Ni 分院:E-Ni 黑龙江省:B-Ni 农作物:I-Ni 品种:I-Ni 审定:I-Ni 委员会:E-Ni 
两优六三二六: 	长江:S-Ns 叶挺:S-Nh 
两优多系一号: 	福建:B-Ni 旺穗:I-Ni 种业:I-Ni 有限公司:E-Ni 福建省:B-Ni 农科院:I-Ni 水稻:I-Ni 研究所:E-Ni 
临奥九号: 	中华人民共和国:B-Ni 农业部:E-Ni 四川:B-Ns 重庆:I-Ns 云南:I-Ns 湖南:I-Ns 湖北:I-Ns 贵州:I-Ns 遵义:I-Ns 地区:E-Ns 广西:B-Ns 平坝:E-Ns 
临草2号: 	临草2号:B-Ni 山西省:I-Ni 农业:I-Ni 科学院:I-Ni 小麦:I-Ni 研究所:E-Ni 山西省:B-Ns 运城:I-Ns 临汾:E-Ns 
乐丰优329: 	乐丰优329:S-Nh 福建省:B-Ni 农业:I-Ni 科学院:I-Ni 水稻:I-Ni 研究所:E-Ni 叶鞘:S-Nh 叶下:S-Nh 
乐豆1号: 	乐山市:B-Ni 农科所:E-Ni 日本:S-Ns 
六陈: 	吴茱萸:S-Nh 陈放:S-Nh 六陈:S-Nh 广西省:B-Ns 平南县:E-Ns 
内二优六号: 	中华人民共和国:B-Ni 农业部:E-Ni 
内葵杂3号: 	内蒙古:B-Ni 农牧业:I-Ni 科学院:E-Ni 赤峰市:B-Ns 翁牛特旗:I-Ns 林西县:I-Ns 克旗:I-Ns 松山区:I-Ns 敖汉旗:I-Ns 旗县:E-Ns 
N2优28: 	湖北省:B-Ni 荆楚:I-Ni 种业:I-Ni 股份:I-Ni 有限公司:E-Ni 湖北省:B-Ni 农作物:I-Ni 品种:I-Ni 审定:I-Ni 委员会:E-Ni 
农业地球化学: 	
